No,City,1991,2001,2011,xPos,yPos,,,,,,,,,,
51,Gloucester,"114,003","123,205","136,362",1515,2295,,,,,,,,,,
52,Sale,...,...,"134,022",1565,1828,,,,,,,,,,
53,Watford,"113,080","120,960","131,982",1848,2395,,,,,,,,,,
54,Newport,"115,522","118,323","128,060",1373,2353,,,,,,,,,,
55,Solihull,"118,103","118,907","123,187",1637,2150,,,,,,,,,,
56,High Wycombe,"106,123","110,473","120,256",1772,2405,,,,,,,,,,
57,Gateshead,"118,212","112,599","120,046",1755,1392,,,,,,,,,,
58,Colchester,"96,063","104,390","119,441",2085,2358,,,,,,,,,,
59,Blackburn,...,...,"117,963",1584,1700,,,,,,,,,,
60,Cheltenham,"102,633","110,320","116,447",1550,2285,,,,,,,,,,
61,Exeter,"94,717","106,772","113,507",1230,2596,,,,,,,,,,
62,Chelmsford,"97,451","99,962","110,507",2017,2400,,,,,,,,,,
63,Doncaster,"103,580","101,056","109,805",1800,1820,,,,,,,,,,
64,Rotherham,...,...,"109,691",1765,1862,,,,,,,,,,
65,Eastbourne,"94,793","106,562","109,185",1942,2678,,,,,,,,,,
66,Worthing,...,...,"109,120",1820,2650,,,,,,,,,,
67,Sutton Coldfield,"106,001","105,452","109,015",1645,2080,,,,,,,,,,
68,Rochdale,"100,935","102,888","107,926",1615,1772,,,,,,,,,,
69,Maidstone,...,...,"107,627",2017,2550,,,,,,,,,,
70,Basingstoke,"81,228","93,963","107,355",1684,2497,,,,,,,,,,
71,Basildon,"100,924","99,876","107,123",2011,2430,,,,,,,,,,
72,Crawley,"88,203","100,547","106,943",1868,2567,,,,,,,,,,
73,Stockport,...,...,"105,878",1612,1839,,,,,,,,,,
74,Woking,"101,484","105,262","105,367",1745,2465,,,,,,,,,,
75,Gillingham,"94,923","98,403","104,157",2016,2510,,,,,,,,,,
76,Salford,...,...,"103,886",1572,1808,,,,,,,,,,
77,Wigan,"98,070","92,415","103,608",1530,1788,,,,,,,,,,
78,St Helens,"106,293","102,629","102,885",1510,1802,,,,,,,,,,
79,Lincoln,"97,996","104,221","100,160",1883,1928,,,,,,,,,,
80,Worcester,"82,661","94,029","100,153",1530,2195,,,,,,,,,,
